block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,100,100.0,square1,,,0,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,0,100.0,square3,,,2,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,0,100.0,square4,,,3,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,100,200.0,square1,,,0,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,0,200.0,square2,,,1,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,0,200.0,square4,,,3,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,0,200.0,square3,,,2,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,100,300.0,square1,,,0,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,100,400.0,square1,,,0,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,100,500.0,square1,,,0,p,0.0
NS2,0.0,44.0,66.0,42.0,38.0,42,42.0,square3,r,0.7761,2,N,2.0
NS2,1.0,44.0,66.0,47.0,43.0,66,108.0,square2,i,0.6924,1,N,2.0
NS2,2.0,42.0,62.0,53.0,43.0,43,151.0,square4,f,0.0819,3,N,2.0
NS2,3.0,46.0,58.0,48.0,46.0,46,197.0,square1,j,0.814,0,N,2.0
NS2,4.0,47.0,61.0,51.0,42.0,51,248.0,square3,r,0.2408,2,N,2.0
NS2,5.0,51.0,58.0,50.0,50.0,50,298.0,square3,r,0.3658,2,N,2.0
NS2,6.0,52.0,58.0,43.0,48.0,43,341.0,square3,r,0.2079,2,N,2.0
NS2,7.0,50.0,52.0,43.0,50.0,52,393.0,square2,i,0.96,1,N,2.0
NS2,8.0,54.0,58.0,41.0,46.0,46,439.0,square4,f,0.1652,3,N,2.0
NS2,9.0,52.0,59.0,42.0,46.0,52,491.0,square1,j,0.696,0,N,2.0
NS2,10.0,50.0,52.0,37.0,48.0,37,528.0,square3,r,0.3983,2,N,2.0
NS2,11.0,45.0,56.0,38.0,43.0,56,584.0,square2,i,0.2434,1,N,2.0
NS2,12.0,50.0,56.0,37.0,48.0,48,632.0,square4,f,0.0491,3,N,2.0
NS2,13.0,47.0,63.0,36.0,49.0,47,679.0,square1,j,0.6977,0,N,2.0
NS2,14.0,51.0,56.0,39.0,49.0,51,730.0,square1,j,0.3173,0,N,2.0
NS2,15.0,46.0,64.0,39.0,50.0,39,769.0,square3,r,0.2292,2,N,2.0
NS2,16.0,51.0,61.0,37.0,47.0,37,806.0,square3,r,0.766,2,N,2.0
NS2,17.0,59.0,68.0,46.0,53.0,46,852.0,square3,r,0.493,2,N,2.0
NS2,18.0,53.0,65.0,42.0,49.0,53,905.0,square1,j,0.9778,0,N,2.0
NS2,19.0,52.0,67.0,47.0,49.0,49,954.0,square4,f,0.5987,3,N,2.0
NS2,20.0,56.0,64.0,45.0,48.0,48,1002.0,square4,f,0.449,3,N,2.0
NS2,21.0,57.0,73.0,46.0,44.0,46,1048.0,square3,r,0.5307,2,N,2.0
NS2,22.0,54.0,76.0,36.0,47.0,36,1084.0,square3,r,0.4831,2,N,2.0
NS2,23.0,55.0,77.0,35.0,42.0,77,1161.0,square2,i,0.0578,1,N,2.0
NS2,24.0,53.0,68.0,35.0,46.0,68,1229.0,square2,i,0.3611,1,N,2.0
NS2,25.0,55.0,73.0,29.0,45.0,55,1284.0,square1,j,0.695,0,N,2.0
NS2,26.0,52.0,69.0,30.0,49.0,52,1336.0,square1,j,1.0336,0,N,2.0
NS2,27.0,52.0,62.0,33.0,52.0,52,1388.0,square4,f,0.4767,3,N,2.0
NS2,28.0,58.0,62.0,33.0,47.0,33,1421.0,square3,r,0.543,2,N,2.0
NS2,29.0,56.0,65.0,38.0,46.0,38,1459.0,square3,r,0.5296,2,N,2.0
NS2,30.0,56.0,66.0,37.0,50.0,37,1496.0,square3,r,0.0443,2,N,2.0
NS2,31.0,50.0,64.0,35.0,45.0,35,1531.0,square3,r,0.5673,2,N,2.0
NS2,32.0,56.0,62.0,38.0,45.0,62,1593.0,square2,i,0.4413,1,N,2.0
NS2,33.0,59.0,58.0,34.0,48.0,58,1651.0,square2,i,0.4942,1,N,2.0
NS2,34.0,55.0,59.0,36.0,48.0,59,1710.0,square2,i,0.1273,1,N,2.0
NS2,35.0,54.0,57.0,33.0,48.0,57,1767.0,square2,i,0.0956,1,N,2.0
NS2,36.0,53.0,58.0,34.0,51.0,51,1818.0,square4,f,0.8596,3,N,2.0
NS2,37.0,46.0,53.0,32.0,55.0,55,1873.0,square4,f,0.4627,3,N,2.0
NS2,38.0,46.0,59.0,37.0,49.0,46,1919.0,square1,j,0.1037,0,N,2.0
NS2,39.0,53.0,59.0,36.0,48.0,53,1972.0,square1,j,0.1605,0,N,2.0
NS2,40.0,46.0,60.0,37.0,42.0,37,2009.0,square3,r,0.3799,2,N,2.0
NS2,41.0,51.0,57.0,42.0,41.0,42,2051.0,square3,r,0.1496,2,N,2.0
NS2,42.0,49.0,53.0,46.0,41.0,53,2104.0,square2,i,0.3661,1,N,2.0
NS2,43.0,49.0,57.0,43.0,39.0,39,2143.0,square4,f,0.6818,3,N,2.0
NS2,44.0,48.0,55.0,48.0,37.0,48,2191.0,square1,j,0.1635,0,N,2.0
NS2,45.0,49.0,52.0,34.0,36.0,49,2240.0,square1,j,0.8798,0,N,2.0
NS2,46.0,50.0,46.0,39.0,34.0,39,2279.0,square3,r,0.3959,2,N,2.0
NS2,47.0,55.0,48.0,39.0,26.0,48,2327.0,square2,i,0.6839,1,N,2.0
NS2,48.0,55.0,42.0,41.0,31.0,42,2369.0,square2,i,0.2163,1,N,2.0
NS2,49.0,55.0,41.0,36.0,36.0,36,2405.0,square4,f,0.9917,3,N,2.0
NS2,50.0,50.0,43.0,43.0,36.0,36,2441.0,square4,f,0.4029,3,N,2.0
NS2,51.0,49.0,40.0,44.0,32.0,49,2490.0,square1,j,0.428,0,N,2.0
NS2,52.0,54.0,45.0,40.0,32.0,54,2544.0,square1,j,0.4496,0,N,2.0
NS2,53.0,55.0,44.0,42.0,38.0,44,2588.0,square2,i,1.1106,1,N,2.0
NS2,54.0,57.0,44.0,42.0,37.0,44,2632.0,square2,i,0.4977,1,N,2.0
NS2,55.0,56.0,47.0,35.0,29.0,29,2661.0,square4,f,0.6238,3,N,2.0
NS2,56.0,56.0,45.0,31.0,36.0,56,2717.0,square1,j,0.4937,0,N,2.0
NS2,57.0,48.0,43.0,33.0,36.0,48,2765.0,square1,j,0.8091,0,N,2.0
NS2,58.0,46.0,44.0,30.0,40.0,46,2811.0,square1,j,0.4116,0,N,2.0
NS2,59.0,45.0,36.0,33.0,37.0,45,2856.0,square1,j,0.3437,0,N,2.0
NS2,60.0,45.0,37.0,32.0,38.0,45,2901.0,square1,j,0.4129,0,N,2.0
NS2,61.0,47.0,37.0,31.0,37.0,47,2948.0,square1,j,0.3688,0,N,2.0
