block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,0,0.0,square3,,,2,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,0,0.0,square4,,,3,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,0,0.0,square3,,,2,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,100,100.0,square1,,,0,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,99999,100.0,invalid,,,-1,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,0,100.0,square2,,,1,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,100,200.0,square1,,,0,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,0,200.0,square4,,,3,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,100,300.0,square1,,,0,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,100,400.0,square1,,,0,p,0.0
V10,0.0,28.0,21.0,37.0,46.0,46,46.0,square4,f,1.0105,3,V,10.0
V10,1.0,26.0,19.0,41.0,49.0,19,65.0,square2,i,0.8917,1,V,10.0
V10,2.0,29.0,20.0,43.0,48.0,43,108.0,square3,j,0.6439,2,V,10.0
V10,3.0,27.0,27.0,37.0,44.0,27,135.0,square1,r,0.5307,0,V,10.0
V10,4.0,28.0,16.0,36.0,47.0,28,163.0,square1,r,0.559,0,V,10.0
V10,5.0,33.0,25.0,42.0,54.0,42,205.0,square3,j,0.7565,2,V,10.0
V10,6.0,28.0,19.0,35.0,45.0,45,250.0,square4,f,0.5654,3,V,10.0
V10,7.0,30.0,24.0,35.0,49.0,24,274.0,square2,i,0.5495,1,V,10.0
V10,8.0,37.0,29.0,41.0,47.0,41,315.0,square3,j,0.6605,2,V,10.0
V10,9.0,28.0,21.0,41.0,48.0,28,343.0,square1,r,1.1104,0,V,10.0
V10,10.0,27.0,22.0,39.0,42.0,39,382.0,square3,j,1.0166,2,V,10.0
V10,11.0,32.0,16.0,41.0,48.0,16,398.0,square2,i,0.4247,1,V,10.0
V10,12.0,34.0,15.0,33.0,49.0,33,431.0,square3,j,0.6231,2,V,10.0
V10,13.0,36.0,19.0,41.0,45.0,45,476.0,square4,f,0.3607,3,V,10.0
V10,14.0,28.0,23.0,35.0,53.0,53,529.0,square4,f,0.5925,3,V,10.0
V10,15.0,26.0,28.0,40.0,50.0,50,579.0,square4,f,0.6473,3,V,10.0
V10,16.0,30.0,25.0,42.0,47.0,47,626.0,square4,f,0.6789,3,V,10.0
V10,17.0,31.0,19.0,38.0,50.0,38,664.0,square3,j,0.6066,2,V,10.0
V10,18.0,34.0,21.0,35.0,48.0,34,698.0,square1,r,0.5426,0,V,10.0
V10,19.0,31.0,24.0,39.0,46.0,24,722.0,square2,i,0.5655,1,V,10.0
V10,20.0,28.0,22.0,42.0,47.0,28,750.0,square1,r,0.4324,0,V,10.0
V10,21.0,24.0,20.0,41.0,47.0,47,797.0,square4,f,0.3438,3,V,10.0
V10,22.0,32.0,22.0,34.0,44.0,44,841.0,square4,f,0.7493,3,V,10.0
V10,23.0,29.0,23.0,37.0,47.0,37,878.0,square3,j,0.5635,2,V,10.0
V10,24.0,25.0,25.0,38.0,46.0,46,924.0,square4,f,0.5821,3,V,10.0
V10,25.0,30.0,24.0,41.0,45.0,41,965.0,square3,j,0.5755,2,V,10.0
V10,26.0,32.0,17.0,38.0,49.0,49,1014.0,square4,f,0.4924,3,V,10.0
V10,27.0,34.0,21.0,38.0,47.0,38,1052.0,square3,j,0.4266,2,V,10.0
V10,28.0,29.0,21.0,37.0,45.0,45,1097.0,square4,f,0.422,3,V,10.0
V10,29.0,30.0,20.0,31.0,47.0,31,1128.0,square3,j,1.123,2,V,10.0
V10,30.0,28.0,21.0,35.0,44.0,28,1156.0,square1,r,0.3974,0,V,10.0
V10,31.0,36.0,25.0,14.0,8.0,8,1164.0,square4,f,0.3633,3,V,10.0
V10,32.0,38.0,27.0,19.0,11.0,19,1183.0,square3,j,0.4888,2,V,10.0
V10,33.0,39.0,21.0,20.0,13.0,21,1204.0,square2,i,0.3918,1,V,10.0
V10,34.0,34.0,24.0,20.0,10.0,34,1238.0,square1,r,0.2599,0,V,10.0
V10,35.0,44.0,29.0,17.0,11.0,44,1282.0,square1,r,0.4829,0,V,10.0
V10,36.0,33.0,30.0,17.0,9.0,17,1299.0,square3,j,0.3936,2,V,10.0
V10,37.0,31.0,27.0,12.0,6.0,31,1330.0,square1,r,0.3927,0,V,10.0
V10,38.0,34.0,29.0,15.0,10.0,29,1359.0,square2,i,0.3596,1,V,10.0
V10,39.0,35.0,21.0,19.0,5.0,35,1394.0,square1,r,0.4489,0,V,10.0
V10,40.0,32.0,26.0,18.0,6.0,32,1426.0,square1,r,0.5265,0,V,10.0
V10,41.0,34.0,32.0,13.0,9.0,32,1458.0,square2,i,0.578,1,V,10.0
V10,42.0,35.0,30.0,16.0,8.0,35,1493.0,square1,r,0.4593,0,V,10.0
V10,43.0,38.0,32.0,16.0,8.0,32,1525.0,square2,i,0.5474,1,V,10.0
V10,44.0,34.0,20.0,18.0,3.0,3,1528.0,square4,f,0.4468,3,V,10.0
V10,45.0,38.0,22.0,23.0,9.0,38,1566.0,square1,r,0.4087,0,V,10.0
V10,46.0,36.0,28.0,16.0,10.0,16,1582.0,square3,j,0.4499,2,V,10.0
V10,47.0,36.0,27.0,13.0,8.0,27,1609.0,square2,i,0.4308,1,V,10.0
V10,48.0,35.0,27.0,14.0,12.0,35,1644.0,square1,r,0.3758,0,V,10.0
V10,49.0,33.0,28.0,16.0,10.0,33,1677.0,square1,r,0.2892,0,V,10.0
V10,50.0,31.0,29.0,19.0,8.0,31,1708.0,square1,r,0.3261,0,V,10.0
V10,51.0,32.0,21.0,20.0,12.0,32,1740.0,square1,r,0.3428,0,V,10.0
V10,52.0,29.0,25.0,21.0,10.0,29,1769.0,square1,r,0.4597,0,V,10.0
V10,53.0,39.0,29.0,23.0,2.0,29,1798.0,square2,i,0.3295,1,V,10.0
V10,54.0,33.0,28.0,19.0,7.0,19,1817.0,square3,j,0.3492,2,V,10.0
V10,55.0,34.0,24.0,15.0,8.0,24,1841.0,square2,i,0.4264,1,V,10.0
V10,56.0,35.0,20.0,21.0,9.0,35,1876.0,square1,r,0.2751,0,V,10.0
V10,57.0,33.0,27.0,19.0,7.0,33,1909.0,square1,r,0.3942,0,V,10.0
V10,58.0,38.0,24.0,16.0,7.0,38,1947.0,square1,r,0.4037,0,V,10.0
V10,59.0,34.0,29.0,15.0,5.0,34,1981.0,square1,r,0.3125,0,V,10.0
V10,60.0,34.0,22.0,19.0,9.0,34,2015.0,square1,r,0.2148,0,V,10.0
V10,61.0,39.0,31.0,20.0,10.0,39,2054.0,square1,r,0.1254,0,V,10.0
V10,62.0,35.0,24.0,18.0,6.0,35,2089.0,square1,r,0.0061,0,V,10.0
V10,63.0,35.0,26.0,18.0,9.0,35,2124.0,square1,r,0.912,0,V,10.0
V10,64.0,31.0,55.0,23.0,23.0,31,2155.0,square1,r,0.5631,0,V,10.0
V10,65.0,35.0,50.0,22.0,27.0,35,2190.0,square1,r,0.5285,0,V,10.0
V10,66.0,35.0,53.0,25.0,29.0,35,2225.0,square1,r,0.5741,0,V,10.0
V10,67.0,38.0,44.0,17.0,29.0,38,2263.0,square1,r,0.3603,0,V,10.0
V10,68.0,36.0,48.0,22.0,27.0,36,2299.0,square1,r,0.3106,0,V,10.0
V10,69.0,41.0,53.0,17.0,28.0,41,2340.0,square1,r,0.3453,0,V,10.0
V10,70.0,40.0,48.0,23.0,28.0,40,2380.0,square1,r,0.3935,0,V,10.0
V10,71.0,39.0,43.0,24.0,20.0,24,2404.0,square3,j,0.5604,2,V,10.0
V10,72.0,36.0,49.0,19.0,25.0,25,2429.0,square4,f,0.3156,3,V,10.0
V10,73.0,39.0,49.0,23.0,32.0,49,2478.0,square2,i,0.359,1,V,10.0
V10,74.0,36.0,44.0,17.0,29.0,44,2522.0,square2,i,0.4446,1,V,10.0
V10,75.0,37.0,46.0,20.0,30.0,46,2568.0,square2,i,0.4273,1,V,10.0
V10,76.0,38.0,47.0,23.0,30.0,47,2615.0,square2,i,0.4779,1,V,10.0
V10,77.0,36.0,49.0,22.0,32.0,49,2664.0,square2,i,0.4408,1,V,10.0
V10,78.0,41.0,44.0,19.0,27.0,44,2708.0,square2,i,0.5104,1,V,10.0
