Trial,block,square1,square2,square3,square4,invalid
0,NS4,55,53,59,44,No Choice
1,NS4,49,56,64,41,No Choice
2,NS4,50,54,71,48,No Choice
3,NS4,53,58,67,50,No Choice
4,NS4,49,51,70,55,No Choice
5,NS4,55,59,73,58,No Choice
6,NS4,56,54,71,57,No Choice
7,NS4,60,54,75,52,No Choice
8,NS4,58,53,74,52,No Choice
9,NS4,46,48,78,51,No Choice
10,NS4,55,48,78,51,No Choice
11,NS4,55,44,79,49,No Choice
12,NS4,50,40,79,50,No Choice
13,NS4,45,39,79,53,No Choice
14,NS4,44,38,77,56,No Choice
15,NS4,45,32,68,52,No Choice
16,NS4,49,32,74,53,No Choice
17,NS4,45,32,69,51,No Choice
18,NS4,50,34,69,47,No Choice
19,NS4,50,36,65,53,No Choice
20,NS4,45,36,62,53,No Choice
21,NS4,49,35,62,55,No Choice
22,NS4,53,32,61,60,No Choice
23,NS4,52,33,58,54,No Choice
24,NS4,48,32,52,60,No Choice
25,NS4,47,30,53,57,No Choice
26,NS4,50,30,60,55,No Choice
27,NS4,50,28,62,47,No Choice
28,NS4,54,28,58,49,No Choice
29,NS4,44,29,50,49,No Choice
30,NS4,43,26,55,57,No Choice
31,NS4,43,25,60,54,No Choice
32,NS4,34,27,58,56,No Choice
33,NS4,34,20,60,62,No Choice
34,NS4,38,28,58,57,No Choice
35,NS4,40,24,63,59,No Choice
36,NS4,36,30,56,63,No Choice
37,NS4,40,29,54,63,No Choice
38,NS4,40,33,53,69,No Choice
39,NS4,36,30,57,67,No Choice
40,NS4,33,33,58,68,No Choice
41,NS4,34,28,58,72,No Choice
42,NS4,35,30,60,70,No Choice
43,NS4,35,34,57,63,No Choice
44,NS4,30,32,59,69,No Choice
45,NS4,29,31,60,66,No Choice
46,NS4,35,34,66,66,No Choice
47,NS4,35,28,63,62,No Choice
48,NS4,37,37,61,55,No Choice
49,NS4,40,34,59,54,No Choice
50,NS4,39,38,68,51,No Choice
51,NS4,46,28,69,48,No Choice
52,NS4,40,34,62,49,No Choice
53,NS4,39,34,63,48,No Choice
54,NS4,44,31,58,47,No Choice
55,NS4,42,30,68,46,No Choice
56,NS4,36,25,69,44,No Choice
57,NS4,35,29,71,46,No Choice
58,NS4,43,28,68,47,No Choice
59,NS4,43,27,67,43,No Choice
60,NS4,40,25,72,46,No Choice
61,NS4,39,32,63,43,No Choice
62,NS4,39,29,61,39,No Choice
63,NS4,41,28,59,40,No Choice
64,NS4,41,31,57,51,No Choice
65,NS4,46,36,59,58,No Choice
66,NS4,45,36,53,46,No Choice
67,NS4,40,34,49,46,No Choice
68,NS4,43,37,48,48,No Choice
69,NS4,42,36,44,56,No Choice
70,NS4,40,38,47,58,No Choice
71,NS4,36,34,42,63,No Choice
72,NS4,38,36,36,66,No Choice
73,NS4,36,40,40,66,No Choice
74,NS4,31,38,46,67,No Choice
75,NS4,40,33,42,64,No Choice
76,NS4,38,35,42,64,No Choice
77,NS4,40,35,39,66,No Choice
78,NS4,40,33,38,68,No Choice
79,NS4,40,38,31,70,No Choice
80,NS4,37,35,33,73,No Choice
81,NS4,34,35,30,70,No Choice
82,NS4,35,37,31,66,No Choice
83,NS4,42,32,28,67,No Choice
84,NS4,38,35,30,68,No Choice
85,NS4,43,35,32,64,No Choice
86,NS4,49,35,32,70,No Choice
87,NS4,48,34,32,69,No Choice
88,NS4,50,35,30,64,No Choice
89,NS4,48,34,32,68,No Choice
90,NS4,53,29,27,68,No Choice
91,NS4,54,27,34,68,No Choice
92,NS4,52,20,35,69,No Choice
93,NS4,42,15,33,68,No Choice
94,NS4,40,24,37,72,No Choice
95,NS4,43,25,43,69,No Choice
96,NS4,41,29,43,74,No Choice
97,NS4,46,32,42,78,No Choice
98,NS4,48,26,46,75,No Choice
99,NS4,46,27,45,71,No Choice
