Trial,block,square1,square2,square3,square4,invalid
0,S11,49,53,49,45,No Choice
1,S11,54,56,42,50,No Choice
2,S11,39,51,39,43,No Choice
3,S11,53,50,38,43,No Choice
4,S11,47,54,39,48,No Choice
5,S11,47,52,40,46,No Choice
6,S11,47,46,44,54,No Choice
7,S11,48,51,35,51,No Choice
8,S11,52,49,36,43,No Choice
9,S11,47,53,41,55,No Choice
10,S11,44,48,41,43,No Choice
11,S11,41,54,38,43,No Choice
12,S11,45,54,44,45,No Choice
13,S11,54,52,44,50,No Choice
14,S11,57,58,36,45,No Choice
15,S11,48,54,43,49,No Choice
16,S11,58,47,42,46,No Choice
17,S11,41,61,42,53,No Choice
18,S11,51,58,33,39,No Choice
19,S11,48,49,37,42,No Choice
20,S11,52,52,45,46,No Choice
21,S11,47,53,44,51,No Choice
22,S11,49,54,37,41,No Choice
23,S11,52,54,41,45,No Choice
24,S11,42,56,41,45,No Choice
25,S11,52,56,42,44,No Choice
26,S11,43,56,41,45,No Choice
27,S11,48,50,40,43,No Choice
28,S11,46,49,38,48,No Choice
29,S11,46,55,40,42,No Choice
30,S11,46,56,43,37,No Choice
31,S11,42,49,44,42,No Choice
32,S11,51,52,36,40,No Choice
33,S11,44,53,39,43,No Choice
34,S11,52,52,43,49,No Choice
35,S11,53,51,38,45,No Choice
36,S11,50,44,42,48,No Choice
37,S11,49,51,40,48,No Choice
38,S11,47,47,39,38,No Choice
39,S11,51,55,40,42,No Choice
40,S11,50,52,41,44,No Choice
41,S11,47,50,46,50,No Choice
42,S11,52,48,41,47,No Choice
43,S11,50,56,34,42,No Choice
44,S11,42,48,37,49,No Choice
45,S11,47,47,41,40,No Choice
46,S11,50,56,40,44,No Choice
47,S11,46,48,38,47,No Choice
48,S11,45,54,44,41,No Choice
49,S11,44,53,41,41,No Choice
