Trial,block,square1,square2,square3,square4,invalid
0,V10,28,21,37,46,No Choice
1,V10,26,19,41,49,No Choice
2,V10,29,20,43,48,No Choice
3,V10,27,27,37,44,No Choice
4,V10,28,16,36,47,No Choice
5,V10,33,25,42,54,No Choice
6,V10,28,19,35,45,No Choice
7,V10,30,24,35,49,No Choice
8,V10,37,29,41,47,No Choice
9,V10,28,21,41,48,No Choice
10,V10,27,22,39,42,No Choice
11,V10,32,16,41,48,No Choice
12,V10,34,15,33,49,No Choice
13,V10,36,19,41,45,No Choice
14,V10,28,23,35,53,No Choice
15,V10,26,28,40,50,No Choice
16,V10,30,25,42,47,No Choice
17,V10,31,19,38,50,No Choice
18,V10,34,21,35,48,No Choice
19,V10,31,24,39,46,No Choice
20,V10,28,22,42,47,No Choice
21,V10,24,20,41,47,No Choice
22,V10,32,22,34,44,No Choice
23,V10,29,23,37,47,No Choice
24,V10,25,25,38,46,No Choice
25,V10,30,24,41,45,No Choice
26,V10,32,17,38,49,No Choice
27,V10,34,21,38,47,No Choice
28,V10,29,21,37,45,No Choice
29,V10,30,20,31,47,No Choice
30,V10,28,21,35,44,No Choice
31,V10,36,25,14,8,No Choice
32,V10,38,27,19,11,No Choice
33,V10,39,21,20,13,No Choice
34,V10,34,24,20,10,No Choice
35,V10,44,29,17,11,No Choice
36,V10,33,30,17,9,No Choice
37,V10,31,27,12,6,No Choice
38,V10,34,29,15,10,No Choice
39,V10,35,21,19,5,No Choice
40,V10,32,26,18,6,No Choice
41,V10,34,32,13,9,No Choice
42,V10,35,30,16,8,No Choice
43,V10,38,32,16,8,No Choice
44,V10,34,20,18,3,No Choice
45,V10,38,22,23,9,No Choice
46,V10,36,28,16,10,No Choice
47,V10,36,27,13,8,No Choice
48,V10,35,27,14,12,No Choice
49,V10,33,28,16,10,No Choice
50,V10,31,29,19,8,No Choice
51,V10,32,21,20,12,No Choice
52,V10,29,25,21,10,No Choice
53,V10,39,29,23,2,No Choice
54,V10,33,28,19,7,No Choice
55,V10,34,24,15,8,No Choice
56,V10,35,20,21,9,No Choice
57,V10,33,27,19,7,No Choice
58,V10,38,24,16,7,No Choice
59,V10,34,29,15,5,No Choice
60,V10,34,22,19,9,No Choice
61,V10,39,31,20,10,No Choice
62,V10,35,24,18,6,No Choice
63,V10,35,26,18,9,No Choice
64,V10,31,55,23,23,No Choice
65,V10,35,50,22,27,No Choice
66,V10,35,53,25,29,No Choice
67,V10,38,44,17,29,No Choice
68,V10,36,48,22,27,No Choice
69,V10,41,53,17,28,No Choice
70,V10,40,48,23,28,No Choice
71,V10,39,43,24,20,No Choice
72,V10,36,49,19,25,No Choice
73,V10,39,49,23,32,No Choice
74,V10,36,44,17,29,No Choice
75,V10,37,46,20,30,No Choice
76,V10,38,47,23,30,No Choice
77,V10,36,49,22,32,No Choice
78,V10,41,44,19,27,No Choice
79,V10,41,48,22,27,No Choice
80,V10,34,44,26,29,No Choice
81,V10,38,47,18,29,No Choice
82,V10,43,43,23,28,No Choice
83,V10,34,51,23,26,No Choice
84,V10,36,46,18,25,No Choice
85,V10,39,46,25,26,No Choice
86,V10,39,50,27,27,No Choice
87,V10,38,46,20,30,No Choice
88,V10,37,49,22,28,No Choice
89,V10,34,51,25,26,No Choice
90,V10,41,49,22,29,No Choice
91,V10,37,45,26,32,No Choice
92,V10,42,42,27,28,No Choice
93,V10,41,48,19,36,No Choice
94,V10,43,49,23,31,No Choice
95,V10,39,46,18,27,No Choice
96,V10,37,48,24,27,No Choice
97,V10,42,50,23,31,No Choice
98,V10,33,47,25,32,No Choice
99,V10,39,48,23,32,No Choice
